标题,作者,时间,内容,文章链接
防范养老诈骗，守护老年人钱袋子,信息新报,"
2022-04-27 16:54:36", 近日，西固区临洮街街道清水街社区在做好疫情防控的同时，积极开展“防疫+养老反诈”宣传活动，实现了疫情防控与反养老诈骗宣传齐步走、同推进，推动养老反诈工作向纵深落实，增强辖区居民防范养老诈骗“免疫力”。 社区利用悬挂横幅、线上问卷调查、短视频等宣传方式，通过线上短视频方式讲解非法集资的特征、表现形式和常见手段，使老年人及其家人有效识别养老服务领域非法集资诈骗行为，增强老年人防范意识。 今后社区将建,https://www.163.com/dy/article/H5VO255T0552ADWT.html
 太可恶！这些诈骗，专挑老年人下手,举报,"
2022-04-22 21:49:07",编者按StartFragment来源：最高人民检察院编辑：姚春燕EndFragment,https://shanxi.news.163.com/22/0422/21/H5JCTI12041999R7.html
公安部 开展打击整治“养老诈骗”专项行动, , , ,https://www.163.com/v/video/VY4KJGK5B.html
反诈警官老陈辟谣“后悔辞职”！晒聊天记录，自言要到中宣部举报,裕丰娱间说,"
2022-04-24 01:53:25",反诈警官老陈爆红之后，就引来了很多网友的质疑，有人认为老陈作为警官不应该出现在网络中，这会损害名声，也有人认为老陈紧跟时代潮流，运用网络宣传诈骗，不仅可以起到事半功倍的效果，也能在线震慑那些诈骗犯。如果按照这条路走下去，那么老陈必然会在反诈的历史留下浓重的一笔。可惜的是，他先后遭到网友质疑，声称伴随时间的推移，以及打赏金额的增加，他的眼里没有了光，这句话深深戳中了老陈的内心，为了自己的公益梦想，为,https://www.163.com/dy/article/H5MD9I320537B1I5.html
被打赏100万后辞职，反诈警官老陈后悔了？,雷科技,"
2022-04-24 22:10:02",如今提到“反诈骗”，小伙伴们脑海里会想到什么东西？是那些在线下奔波一整天，给我们宣传反诈知识的民警，还是新闻上经常播报“富婆被骗上百万元”的典型案例呢？如果你问小雷，我一定会说出那个让无数诈骗分子直冒冷汗的【国家反诈中心】。当时它以迅雷不及掩耳之势冲上App Store下载榜第一。也许钉钉和微信怎么都想不到，一个冷门的反诈App，会崛起得如此之快。至于国家反诈中心App怎么火起来的，相信各位冲浪高,https://www.163.com/dy/article/H5O8B7GP051100B9.html
反诈老陈失算了！论坚守比不上谭警官，论聪明比不上大衣哥,娱乐八卦大大,"
2022-04-27 03:14:52",最近有消息称，因在短视频平台上做反诈宣传，而一夜爆火的陈警官，在辞去警察工作后，直播热度迅速凉凉。脱下穿了16年的警服，重新变成普通人的老陈，开始表示自己有些后悔了！一夜成名“您好，我是反诈主播，请问你是什么主播？”可想而知，当那些靠着性别反串、各种搞怪、低俗擦边的娱乐主播们，突然连麦上一位身穿制服的在职警察，并看他一脸严肃地做完这样的自我介绍后，会是一种什么样的心情。一恍惚直播间好像突然就变成了,https://www.163.com/dy/article/H5U94PI30529LJQL.html
仿冒平台、借疫诈骗……诈骗高发态势下，金科反诈有哪些硬核举措？,北京商报,"
2022-04-25 21:30:05","假网贷诈骗、""杀猪盘""""以房养老""、注销校园贷……这些诈骗手法你都听过吗？近期，各类电信诈骗高发，也引起金融科技公司的警惕。4月25日，北京商报记者多方采访了解到，包括蚂蚁集团、美团、度小满、360数科、同盾科技、乐信、信也科技、萨摩耶云、百融云创、融360等在内的十余家金融科技公司都在升级反诈手段，通过诈骗识别及拦截、联动警方、反诈宣传等多样举措，全面围堵。仿冒平台、蹭热点花样不断翻新各类五花八",https://www.163.com/dy/article/H5R30S980519DFFO.html
“反诈警官老陈”辞职：我做了一个错误的决定,中国新闻周刊,"
2022-04-23 09:19:54",本刊记者/倪伟发于2022.4.25总第1041期《中国新闻周刊》直播间里，蹦出一个金色奖杯状的礼物，在主播老陈面前旋转，伴随着闪烁的光晕。接着是第二个、第三个……一口气刷了333个。老陈语无伦次了，结结巴巴地说：“这是全国、今天最大的、一个那啥吧。”这个礼物叫“嘉年华”，抖音直播间里最贵的礼物，每个得用3000元人民币购买。当晚收到的“嘉年华”共计100万元。他照例分文未取，尽数捐给了慈善机构，,https://www.163.com/dy/article/H5KKECHC0514BE2Q.html
后悔了？“反诈老陈”辞职15天后，称自己做了错误的决定,娱乐星使,"
2022-04-23 11:05:09",前段时间，“反诈老陈”辞职一事，持续引发网友关注。“反诈老陈”本名陈国平，是秦皇岛市公安局海港分局的一名警察。因为跟网络主播连麦宣传国家反诈中心APP，闹出许多笑话而走红。老陈辞职跟他收到百万打赏一事有关，他自称不想连累自己的单位，所以才辞职的。从“反诈老陈”宣布辞职到到现在，才过去15天时间。在这15天里，“反诈老陈”原来的账号名改回“海港反诈中心”，这也意味着老陈和这个账号再无瓜葛。老陈自己的,https://www.163.com/dy/article/H5KQF39V0552C39B.html
反诈老陈后悔辞职：网暴有错，但你也不无辜，名利面前见人性！,虎牙妹,"
2022-04-25 00:10:24",老陈被网暴了吗？是的，老陈火了之后飘了吗？有点，走到今天这个地步，老陈算不算“活该”呢？答案是肯定的。说实话，老陈的临场反应和说话节奏并不适合直播，既没有谭sir的幽默，也没有明确的个人特色，那么，老陈为什么就火起来了呢？老陈在网络上的异军突起，是因为网友关心反诈吗？当然不是，诈骗这种事情，绝大部分人都会认为离自己很远很远。这就是反诈的娱乐化，只要接了地气，就能吸引一大票粉丝，这正是他成功，或者说,https://www.163.com/dy/article/H5OPPKAU05527RTZ.html
“反诈老陈”辞职了，诈骗分子高兴了，老百姓要绷紧弦了,重剑藏锋,"
2022-04-26 20:42:22",其实老陈他作为一个警察，一开始没想到会走到这一步。他一开始的直播，肯定也是受到大家的支持和欢迎的，但是随这一笔将近100万的这样的一个赞赏，把他放在了舆论的顶尖上。不知道为什么会出现这样一个情况，是不是被人整进了一个坑，还是其他的一些什么原因。总之，这一笔巨额的赞赏，让他没办法，只有辞去警察这份工作，因为他说，作为国家公职人员，如果是因为这样影响到单位声誉，不好。反诈宣传，现在是各级公安机关工作的,https://www.163.com/dy/article/H5TIM3FS05535CG2.html
反诈警官老陈辞职：我做了一个错误的决定！他哪里错了？,小城故事君哥,"
2022-04-23 23:44:17",“反诈警官老陈”辞去了公职，换上了便装，个人直播账号也改名为“老陈生活号”。“其实这个决定是错误的！”陈国平说，“但我想，终究有人要来做一些错误的决定，给后人做个警示教育或者提供经验。”至于是哪方面的警示和经验，他没有解释。老陈真名叫陈国平，据他自己介绍，他从警已经十多年了，从2018年开始，他利用业余时间从事反电信网络诈骗宣传工作，一开始是在直播平台介绍电信诈骗的案例和讲解一些新型诈骗手法，因为,https://www.163.com/dy/article/H5M5T39Q0552Q5OT.html
别再上当啦！！！国家反诈中心APP装起来,信息新报,"
2022-04-26 13:30:30",为提升群众的识骗防骗能力与意识，预防和减少诈骗案件的发生，保障人民群众的财产安全，构建全民反诈新格局，近日，大滩社区开展了“防诈骗、反诈骗”宣传活动。活动现场，从“什么是电信诈骗”、“电信诈骗的常见形式”、“如何识别防范电信诈骗”等方面为居民科普了有关网络诈骗的知识，提醒群众在日常生活中要注意保护好个人信息，不要随意泄露身份信息、银行账户等个人信息，不要贪图小便宜，不要被虚假广告迷惑，做到不轻信、,https://www.163.com/dy/article/H5SPVDPD0552ADWT.html
“海南村霸”大漠叔叔，剧本演绎还是本色出演，为何反诈老陈不行, , , ,https://www.163.com/v/video/VQ51BCJHD.html
哈尔滨：一场反诈“赛跑”紧急止付400万元,新华社,"
2022-04-27 14:56:15",“止付成功！”消息传来，哈尔滨市公安局反诈中心一片欢呼。经过一场反诈民警与诈骗分子的“赛跑”，为群众挽回经济损失400万元。4月18日，哈尔滨市民常某接到了一个“00”开头的陌生电话，对方称自己是警察，查明常某涉嫌洗黑钱。常某为了自证清白，积极配合“办案”。与此同时，哈尔滨市公安局反诈中心预警员发现常某正在遭遇境外诈骗，立即拨打其电话，但电话一直处于“正在通话中”。哈尔滨市公安局反诈中心立即启动市,https://www.163.com/dy/article/H5VH962C05346RC6.html
“反诈民警”老陈辞去公职，以反诈主播身份继续“公益反诈”, , , ,https://www.163.com/v/video/VK3GQ6FUA.html
天上不会掉馅饼，大家一定要擦亮眼 反诈, , , ,https://www.163.com/v/video/VN4Q7A0M2.html
好家伙，狗子还会反诈呢, , , ,https://www.163.com/v/video/VE4QMRE5K.html
反诈民警老陈曝辞职决定的背后 , , , ,https://www.163.com/v/video/VH4VNNPCJ.html
“杀猪盘”电影要火 电影中的趣味反诈有多少？, , , ,https://www.163.com/v/video/VR5162UTG.html
反诈老陈质疑记者标题党 否认辞职决定是错误的, , , ,https://www.163.com/v/video/VG4Q37N35.html
曹操:真后悔没有下载反诈APP, , , ,https://www.163.com/v/video/VW4KN4263.html
反诈警官老陈称辞职是错误的决定,北青网-北京青年报,"
2022-04-23 11:59:05",【#反诈警官老陈称辞职是错误的决定#】4月8日，以“反诈警官老陈”账号风靡短视频平台的陈国平，在一条短视频中宣布辞职，他将辞职的原因归结为3月里的两次网暴事件。在这两次网暴里，他觉得看到了继续直播会牵连单位的苗头，毕竟他穿着警服，于是向单位提出了辞职。直播与单位以及本职工作之间的关系异常微妙，把控尺度非常困难，甚至是不可能的。“其实这个决定是错误的，”陈国平对@中国新闻周刊 说，“但我想终究有人要,https://www.163.com/dy/article/H5KTHSME0514R9KQ.html
【全民反诈】解封不解防，防疫更用心，反诈更精心！,环京津新闻网,"
2022-04-26 10:43:36",近期，我市因本轮疫情划定的中风险区域正逐步解封，但“解封”不等于“解防”，全市疫情防控形势仍然十分严峻。为了做好个人防护，共同捍卫来之不易的疫情防控成果，廊坊疾控建议市民从以下几个方面出发，继续做好个人防护：01科学戴口罩。戴口罩时要确保口罩紧密贴合并完全覆盖住口鼻和下巴。02勤洗手。在上厕所、触摸门把手或电梯按钮等公共设施之后，加工制作食品或饮食之前要洗手。03少聚集。做到保持距离不扎堆，人多场,https://www.163.com/dy/article/H5SGDR500550HLD8.html
“国家反诈中心”App你安装了吗？,金昌小城大事,"
2022-04-25 18:27:15",安装方法第一步：下载安装，在应用商城搜索“国家反诈中心”或扫描二维码安装第二步，注册认证第三步，开启预警防护功能请大家提醒身边的亲人赶快下载安装APP一起做反诈行动派！-END-编辑：金昌市公安局融媒体中心本土爆笑娱乐 八卦吐槽同城美食攻略 二手信息金昌新闻资讯 大事小情金 昌 最 具 人 气 的 公 众 号金昌小城大事在金昌 你可以不关注小城大事但你会跟你的小伙伴没得聊！合作电话：1539355,https://www.163.com/dy/article/H5QOI3J80545G8OW.html
反诈老陈后悔辞职？本人回应新一轮网暴：不后悔！, , , ,https://www.163.com/v/video/VS4QNMBJE.html
反诈民警接到诈骗电话，却被反问跟你有啥关系？骗子：把我删了吧, , , ,https://www.163.com/v/video/VI4V48LGC.html
神级反诈“话疗”！重庆小姐姐把骗子聊到要自首, , , ,https://www.163.com/v/video/VK51O47NU.html
6000万天价买域名？青岛反诈中心民警：99%是骗局,信网,"
2022-04-26 15:03:11",“国际大鳄”主动提出6000万收购域名近年来，域名这一新兴投资领域逐渐走进公众视野，一些短小精悍、简单易记的网络域名，具有一定的商业交易价值，高价收购域名的消息屡上头条，2011年，新浪微博的域名weibo.com的成交价达到800万元，2014年4月小米科技有限责任公司域名“mi.com”更是达到2243万元的交易额。这样的情况下，如果有人提出愿天价收购你持有的域名，相信很多人都会迅速沉浸于喜悦,https://www.163.com/dy/article/H5SV959S051482LC.html
《反诈民警图鉴》全民反诈 守护大家钱袋子, , , ,https://www.163.com/v/video/VY4VEGUF3.html
聊城市冠县全民反诈推进暨打击整治养老诈骗专项行动部署会议召开,大众网,"
2022-04-25 16:29:33",大众网·海报新闻记者 郑玉冰 聊城报道4月24日下午，冠县召开全民反诈推进暨打击整治养老诈骗专项行动部署会议，县委副书记张庆辉主持会议并讲话，县委常委、政法委书记张怀恒，副县长、县公安局局长李长峰，县法院院长王永前、县检察院检察长柴青云出席会议。会议采取视频形式召开，县直相关部门（单位）主要负责同志、分管负责同志，县公安局相关警种负责同志在主会场参加会议；各乡镇（街道）党政主要负责同志、分管副书记,https://www.163.com/dy/article/H5QHQI6Q0514R9KU.html
“新成员”报到，娄底市反诈专线96110上线！,新娄底,"
2022-04-25 09:39:14",全国反诈专线“96110”已正式启用远离网络诈骗：当您接到“96110”打来的电话，那就证明您正在遭遇电信网络诈骗，或者您属于易受骗高危人群，请务必要及时接听，耐心听取民警的劝阻，避免上当受骗。反诈同行：“您好，这里是娄底市反诈中心，您刚才接到的电话，疑似诈骗电话，千万不要转账，请提高警惕，谨防上当受骗。”相信在未来的日子里这将会是一股最强劲的“蓝色风”反诈力量娄底市反诈中心提醒：1、110是报警,https://www.163.com/dy/article/H5PQB8K30550FHCF.html
兰州警方发布反诈预警 快来看“杀猪盘”里的套路,每日甘肃网新闻,"
2022-04-27 10:14:06",兰州警方发布反诈预警快来看“杀猪盘”里的套路兰州警方提示，在“杀猪盘”套路中，犯罪团伙成员会建立自己的虚拟身份，也就是“人设”。一般来说，男性都是“高富帅”，不仅阳光帅气，还爱健身、有豪车；女性则是经营商铺失败的个体户，年轻貌美但命运多舛，容易获取他人的同情心。“人设”的建立需要大量的视频和照片素材，犯罪团伙为此做了搜集、积累等工作，这些素材通常来源于各种网站上的个人生活照和视频。犯罪团伙成员包装,https://www.163.com/dy/article/H5V14HB40534697A.html
网暴太可怕了，把反诈民警逼成这样……, , , ,https://www.163.com/v/video/VY4OSSTBU.html
当反诈民警接完诈骗电话，骗子：求你删了我, , , ,https://www.163.com/v/video/VK518LNPG.html
原反诈警官老陈辟谣“标题党”，称自己从未说过辞职是错误决定, , , ,https://www.163.com/v/video/VR4PFB7EU.html
新疆克拉玛依一群众心记反诈宣传免受骗,哈密伊州区微生活,"
2022-04-26 09:05:02",“算了，我要报警。”叶先生被要求先付款时对网贷客服说到。4月22日下午，克拉玛依市公安局白碱滩区分局接到叶先生报案称怀疑自己被诈骗。经了解，叶先生在网上找贷款公司进行贷款申请，但一直申领不成功，咨询贷款公司客服后，客服表示因为输入信息错误触发了信贷中心的安全预警，系统判定别人冒用自己的信息进行骗贷，导致贷款金额被冻结，因此需要先向其缴纳六千元置卡验证金，解冻后才能一起放贷两万六千元。叶先生担心自己,https://www.163.com/dy/article/H5R576KS0534B5YI.html
分析下“反诈警官老陈”辞职做公益的利弊以及其内心,雪朴谈生活,"
2022-04-26 22:15:36",>4月8日，前段时间网上很火的秦皇岛网络民警陈国平辞职了，网络上很多人都感觉比较意外，有人认为不值得辞职 有人认为干得不错，本君帮助大家分析下老陈的内心想法。网络上认为老陈不值得辞职的理由，主要是老陈网络上的成功，主要是利用了平台优势，即利用了自己是警察的身份，如果没有警察身份的加持，老陈不会成功，即使老陈现在有了一定知名度，但是离开警察这个职业，以后从事网络吃不开。反之，支持老陈辞掉公职的网友，,https://www.163.com/dy/article/H5TO0TLA0552ZJUZ.html
反诈老陈称是被网爆逼着辞职，还称自己离开公职是错误决定, , , ,https://www.163.com/v/video/VX4O97Q88.html
左小林在2022年乐山市市中区禁毒、反诈人民战争动员工作部署会议上强调：强化打击持之以恒 全力以赴打好禁毒和反诈人民战争,市场新观察,"
2022-04-25 11:34:23",4月21日下午，2022年乐山市市中区禁毒、反诈人民战争动员工作部署会议召开。区委书记左小林出席会议并讲话，他强调，要全面动员、压实责任、持之以恒，全力以赴打好禁毒和反诈人民战争，不断推进禁毒和反诈人民战争取得新成果、实现新突破。副区长、区公安分局局长郑凯主持会议，对2022年市中区禁毒、反诈人民战争第一季度工作开展情况进行总结，就近期重点工作作动员部署。禁毒人民战争、反诈人民战争总指挥部成员单位,https://www.163.com/dy/article/H5Q0U3IK0512BOIV.html
当反诈警察接到电话，骗子求求您把我删了吧, , , ,https://www.163.com/v/video/VO4VG2NGM.html
倾家荡产+一身负债！南宁反诈中心紧急预警,南宁警方,"
2022-04-27 19:05:45",据反诈中心统计，投资理财诈骗发案占比15%左右，但涉案金额占比高达近35%，名副其实的财富收割机！一旦遭遇投资理财诈骗，将遭受重大财产损失！当骗子利用新的投资理财概念（虚拟货币交易、外币投资、期货投资、贵重金属投资、P2P投资等），结合“高回报”“高收益”，还有专业的导师带着你投资理财，你心动么？以为天上掉馅饼，最后却血本无归。紧 急 预 警近期，我市发生多起涉案金额巨大的虚假投资理财诈骗案件，受,https://www.163.com/dy/article/H5VVI13H05341C4X.html
反诈警官老陈称辞职是错误决定, , , ,https://www.163.com/v/video/VX4OAMMTL.html
反诈警官老陈: 辞职挺后悔的 我做了一个错误的决定,换换回收,"
2022-04-24 15:29:42","陈国平又一次上热搜了，这次是因为辞职后他说了一句话:我做了一个错误的决定。提到陈国平,大家可能比较陌生，但提到反诈警官老陈,大家一定会恍然大悟。老陈的“火爆”有两个标志性事件:一、与“西厂公公”连线去年9月，他在直播间连麦，与一位名叫“西厂雨化田”的主播对上了话。那位主播穿着古装，模仿电影里的西厂公公，见到穿着警服的老陈，笑容突然间凝固：“我是搞笑的，哥，我啥事儿也没犯，绝对是良民。”陈国平向“西",https://www.163.com/dy/article/H5NS07L80538F7CB.html
反诈“新秀” | 泽翁桑珠：眼前一亮！自编自唱反诈freestyle,平安甘孜,"
2022-04-26 19:29:14",作者介绍“你好，我是公安局出入境民警有个非法出境记录被系统提醒需要登陆手机网页核实你的信息等会有个链接需要你接受邀请不是吧，我记得我没有办过护照麻烦可否提供一下你的警号你知道得现在骗子多的是套路我遵纪守法可不想被陷阱套住”......参加公安工作以来，连续7年拿到优秀个人等荣誉称号。十八般才艺，愿天下无诈。下一步，在前期反诈宣传获好评的基础上，他还将陆续推出护林防火、疫情防控等朗朗上口的frees,https://www.163.com/dy/article/H5TEG9US0514H88G.html
宾阳e反诈小程序上线啦！为了宾阳人的血汗钱……,宾阳五,"
2022-04-26 00:03:25","宾阳五配图快来参与，宾阳e反诈小程序上线啦！宾阳县公安局宾阳e反诈小程序上线啦！为提升人民群众的反诈防骗意识，守护好人民群众的“钱袋子”,由宾阳县公安局推出的宾阳e反诈小程序上线啦！！！这是一款能有效防范诈骗的小程序，具有丰富的防诈骗知识以及能识别诈骗分子惯用的伎俩，通过学习里面的知识，可以有效避免各类网络诈骗的发生，减少不必要的财产损失。现在搜索宾阳e反诈小程序，既可参与反诈知识答题，还可以赢取",https://www.163.com/dy/article/H5RBPK4R05528HRP.html
反诈进行时丨招聘网站留信息 兼职诈骗找上门！,苏州交警,"
2022-04-26 19:30:56",“只需一两分钟，手机操作即可。”“薪酬三元至三十元！”这样的兼职广告经常看到，极有可能是精心设计的诈骗陷阱。近日，观前派出所就接报了这样一起诈骗警情。“ 警情回顾4月12日，市民小邓向观前派出所报警求助，称遭遇刷单兼职诈骗，损失13000余元。小邓告诉民警，去年10月份左右曾在某招聘网站上登记过信息，之后时不时会接到用工招工电话，他从中选了一份餐饮相关的工作，所以觉得来电都是真实的。4月11日，小,https://www.163.com/dy/article/H5TEJDB7051492GE.html
红安普法知识大讲堂 反诈民警传高招,平安黄冈,"
2022-04-27 22:33:56",4月22日上午，红安县2022年全民阅读暨“护苗·绿书签”活动启动式在天舒广场举行，红安县公安局刑侦大队、反诈专班等部分民警参加了此次活动。为了创新形式、提升活动效果，局刑侦大队反诈专班联合新华书店、城关镇北门岗社区在此次活动中开展“普法知识”大讲堂活动，以反诈知识讲座的形式，面向中老年人群体，宣传“反诈”知识。活动开始前，刑侦大队反诈中心民警在天舒广场利用群众晨练的时间，向群众发放反诈宣传资料、,https://www.163.com/dy/article/H60BF7CO0514K4QG.html
攻坚铸盾！秦皇岛公安全力构建全警反诈、全社会反诈新格局,秦皇岛播报,"
2022-04-26 17:50:45",全警反诈 全社会反诈专门机构精准防基层力量参与防2021年4月6日，习近平总书记对打击治理电信诈骗犯罪工作作出重要指示，深刻阐述打击治理工作的指导思想、原则目标和总体思路，全市各部门坚决贯彻习近平总书记的重要指示精神，切实增强“四个意识”、坚定“四个自信”、做到“两个维护”，全面强化“打、防、管、治、宣”各项措施，全面构建了“全警反诈、全社会反诈”新格局。2021年，特别是全市公安机关“八大攻坚战,https://www.163.com/dy/article/H5T8RVS80517HGKR.html
便民、救助、反诈......雅安公安用心用情把好事办实 把实事办好,雅安新闻资讯,"
2022-04-23 19:11:17",雅安市公安局警车开道 救助晕倒老人4月13日，交通警察直属一大队执勤交警在雨城区北外环跨线桥下接到群众求助，发现一名老人晕倒并有轻微抽搐，情况十分危急。执勤交警闻讯立即驾驶警车拉响警报为老人家属驾驶的车辆开道，仅用4分钟便将老人送到市医院得到妥善救治。雨城区公安分局暖心帮助群众 找回老人遗失物品4月11日，一名年迈老人随身携带的银行卡和身份证丢失。西城派出所民警立即调取周边监控，并对小区进行走访，,https://www.163.com/dy/article/H5LM97B90514BKS1.html
鱼看了都得下载反诈app, , , ,https://www.163.com/v/video/VR4L0S6RA.html
五华公安巡特警大队下沉警力开展反诈宣传,8099999街头巷尾,"
2022-04-26 19:30:04",2月21日，巡特警大队下沉警力在海源、红云所警情高发区域开展网络电信诈骗及“国家反诈中心”APP宣传活动。此次宣传活动，巡特警队员们现场发放预防电诈宣传手册，帮助群众下载注册“国家反诈中心”APP，对各项功能进行疑惑解答，并向群众揭露诈骗犯罪分子惯用手段、作案方式。让广大群众了解到更多诈骗套路，从根源上减少诈骗案件的发生，全力营造更加和谐、更加安全的辖区环境。来源：五华公安,https://www.163.com/dy/article/H5TEHQKU0552SO56.html
“反诈主播”老陈痛批媒体：我什么时候说后悔辞职了？,互联网那些事,"
2022-04-25 17:50:32",01.“错误的决定，但不后悔！”“我是搞笑主播，没有违法，这些礼物都是粉丝自愿的！”西厂厂长雨化田在看到正襟危坐的老陈时，“主动交代”、“语无伦次”的样子令人爆笑不已。这种状态一直持续到与西厂厂长雨化田连线前，然而爆火后的老陈也没那么顺利。曾经想把直播反诈骗当做“情怀”去干的老陈，为了直播每天只能睡上三四个小时，压力巨大。“我昨天去吃饭，一帮人来拍照。你不跟他拍照，他说你飘了，你跟他拍照，饭没吃呢,https://www.163.com/dy/article/H5QMEQDF0531RB59.html
仿冒App、冒用信息等诈骗泛滥！消金反诈怎么做？,北京商报,"
2022-04-27 21:46:12","全民反诈下，消金机构也成为了不可忽视的一股重要力量。近期，各类电信诈骗频现，包括冲销量诈骗、仿冒App、冒用身份信息等诈骗花样不断翻新。4月27日，北京商报记者多方采访了解到，包括中银消金、招联消金、马上消金、中邮消金、中信消金、中原消金、北银消金、小米消金、尚诚消金、苏宁消金、盛银消金等十余家消费金融机构均在推进反诈工作，尤其聚焦""一老一少""人群，加强反诈宣传，多层防堵。切入""一老一少""重点反诈",https://www.163.com/dy/article/H608NQGJ0519DFFO.html
反诈老陈决定辞去警察职务成为反诈公益主播, , , ,https://www.163.com/v/video/VF3JEFCQS.html
反诈骗 | 致西夏区人民的反诈公开信,西夏发布,"
2022-04-26 17:50:33",西夏区广大市民朋友们：近年来，电信网络诈骗案件高发多发、骗子无孔不入，诈骗手法层出不穷，严重侵害人民群众的财产安全。为坚决遏制电信网络诈骗犯罪蔓延势头，守护好人民群众的“钱袋子”，我区组织机关单位、街道社区干部、公安民警开展入户反诈宣传，与大家一同筑起反诈防线。在此，特提醒广大居民：►一、积极配合干部民警开展入户宣传工作，不抗拒、不厌烦，认真学习反诈知识，切实提高自己的识骗防骗能力。► 二、管好自,https://www.163.com/dy/article/H5T8RJB90514NJGM.html
反诈老陈：直播宣传反诈爆火，百万打赏引质疑，辞去公职变网红？, , , ,https://www.163.com/v/video/VI3VPNQUN.html
