,球队名,比赛时间,主队,得分,客队,得分,比分情况
0,四川,2021-10-16 15:00,青岛,100,四川,93,100:93
1,四川,2021-10-20 19:35,四川,84,上海,118,84:118
2,四川,2021-10-22 15:00,福建,80,四川,101,80:101
3,四川,2021-10-24 15:00,四川,66,北京,101,66:101
4,四川,2021-10-26 15:30,广东,111,四川,108,111:108
5,四川,2021-10-28 11:00,四川,96,天津,94,96:94
6,四川,2021-10-31 20:00,深圳,126,四川,107,126:107
7,四川,2021-11-02 20:00,江苏,97,四川,94,97:94
8,四川,2021-11-04 20:00,四川,78,浙江,104,78:104
9,四川,2021-11-07 11:00,四川,96,深圳,125,96:125
10,四川,2021-11-09 11:00,上海,115,四川,97,115:97
11,四川,2021-11-11 20:00,四川,100,福建,90,100:90
12,四川,2021-11-13 19:35,浙江,111,四川,81,111:81
13,同曦,2021-10-16 12:30,吉林,91,同曦,79,91:79
14,同曦,2021-10-20 19:35,同曦,90,广厦,108,90:108
15,同曦,2021-10-22 19:35,宁波,73,同曦,97,73:97
16,同曦,2021-10-24 11:00,同曦,90,山东,102,90:102
17,同曦,2021-10-26 15:00,广州,100,同曦,88,100:88
18,同曦,2021-10-28 11:00,辽宁,114,同曦,103,114:103
19,同曦,2021-10-30 15:00,同曦,101,北控,108,101:108
20,同曦,2021-11-01 19:35,山东,107,同曦,89,107:89
21,同曦,2021-11-05 15:30,新疆,92,同曦,86,92:86
22,同曦,2021-11-07 11:00,同曦,101,广州,115,101:115
23,同曦,2021-11-09 15:30,北控,101,同曦,80,101:80
24,同曦,2021-11-11 20:00,同曦,90,山西,122,90:122
25,同曦,2021-11-13 15:00,同曦,92,宁波,108,92:108
26,北控,2021-10-16 16:30,北控,93,山东,105,93:105
27,北控,2021-10-18 19:35,吉林,73,北控,93,73:93
28,北控,2021-10-21 11:00,广州,102,北控,98,102:98
29,北控,2021-10-23 19:35,北控,116,新疆,105,116:105
30,北控,2021-10-25 19:35,北控,97,山西,102,97:102
31,北控,2021-10-28 20:00,山东,95,北控,105,95:105
32,北控,2021-10-30 15:00,同曦,101,北控,108,101:108
33,北控,2021-11-03 19:35,北控,74,广厦,101,74:101
34,北控,2021-11-05 11:00,北控,95,宁波,79,95:79
35,北控,2021-11-07 20:00,新疆,84,北控,91,84:91
36,北控,2021-11-09 15:30,北控,101,同曦,80,101:80
37,北控,2021-11-11 11:00,辽宁,97,北控,86,97:86
38,北控,2021-11-13 15:00,山西,105,北控,94,105:94
39,吉林,2021-10-16 12:30,吉林,91,同曦,79,91:79
40,吉林,2021-10-18 19:35,吉林,73,北控,93,73:93
41,吉林,2021-10-21 20:00,辽宁,103,吉林,88,103:88
42,吉林,2021-10-24 15:30,吉林,111,宁波,86,111:86
43,吉林,2021-10-26 19:35,山东,93,吉林,87,93:87
44,吉林,2021-10-29 15:00,广厦,102,吉林,92,102:92
45,吉林,2021-10-31 11:00,吉林,94,广州,95,94:95
46,吉林,2021-11-02 11:00,山西,119,吉林,91,119:91
47,吉林,2021-11-04 15:00,吉林,98,山东,83,98:83
48,吉林,2021-11-06 19:35,吉林,89,辽宁,117,89:117
49,吉林,2021-11-09 19:35,宁波,95,吉林,107,95:107
50,吉林,2021-11-12 15:00,广州,107,吉林,104,107:104
51,吉林,2021-11-14 20:00,吉林,88,新疆,86,88:86
52,浙江,2021-10-17 20:00,浙江,108,福建,85,108:85
53,浙江,2021-10-19 19:35,浙江,96,北京,73,96:73
54,浙江,2021-10-21 15:30,广东,110,浙江,94,110:94
55,浙江,2021-10-23 15:00,浙江,105,青岛,98,105:98
56,浙江,2021-10-25 19:35,天津,89,浙江,128,89:128
57,浙江,2021-10-28 15:00,福建,90,浙江,100,90:100
58,浙江,2021-10-30 19:35,浙江,124,广东,101,124:101
59,浙江,2021-11-02 11:00,浙江,104,天津,81,104:81
60,浙江,2021-11-04 20:00,四川,78,浙江,104,78:104
61,浙江,2021-11-06 15:00,浙江,112,江苏,76,112:76
62,浙江,2021-11-08 19:35,北京,89,浙江,81,89:81
63,浙江,2021-11-11 11:00,上海,112,浙江,103,112:103
64,浙江,2021-11-13 19:35,浙江,111,四川,81,111:81
65,江苏,2021-10-17 11:00,江苏,71,北京,87,71:87
66,江苏,2021-10-19 15:00,福建,97,江苏,88,97:88
67,江苏,2021-10-21 20:00,深圳,107,江苏,85,107:85
68,江苏,2021-10-23 15:00,江苏,96,天津,90,96:90
69,江苏,2021-10-27 19:35,北京,86,江苏,69,86:69
70,江苏,2021-10-29 15:00,江苏,94,上海,109,94:109
71,江苏,2021-10-31 15:30,青岛,91,江苏,86,91:86
72,江苏,2021-11-02 20:00,江苏,97,四川,94,97:94
73,江苏,2021-11-04 11:00,江苏,84,广东,97,84:97
74,江苏,2021-11-06 15:00,浙江,112,江苏,76,112:76
75,江苏,2021-11-10 19:35,江苏,82,青岛,79,82:79
76,江苏,2021-11-12 15:00,广东,108,江苏,73,108:73
77,江苏,2021-11-14 15:30,天津,97,江苏,77,97:77
78,山东,2021-10-16 16:30,北控,93,山东,105,93:105
79,山东,2021-10-19 20:00,山东,87,辽宁,98,87:98
80,山东,2021-10-22 15:00,广厦,112,山东,92,112:92
81,山东,2021-10-24 11:00,同曦,90,山东,102,90:102
82,山东,2021-10-26 19:35,山东,93,吉林,87,93:87
83,山东,2021-10-28 20:00,山东,95,北控,105,95:105
84,山东,2021-10-30 15:00,新疆,96,山东,106,96:106
85,山东,2021-11-01 19:35,山东,107,同曦,89,107:89
86,山东,2021-11-04 15:00,吉林,98,山东,83,98:83
87,山东,2021-11-06 15:00,山东,107,山西,114,107:114
88,山东,2021-11-08 19:35,辽宁,114,山东,97,114:97
89,山东,2021-11-11 15:30,宁波,75,山东,111,75:111
90,山东,2021-11-14 11:00,山东,89,广州,107,89:107
91,广东,2021-10-16 19:35,广东,106,深圳,83,106:83
92,广东,2021-10-18 19:35,青岛,90,广东,103,90:103
93,广东,2021-10-21 15:30,广东,110,浙江,94,110:94
94,广东,2021-10-24 19:35,上海,97,广东,112,97:112
95,广东,2021-10-26 15:30,广东,111,四川,108,111:108
96,广东,2021-10-28 19:35,深圳,90,广东,106,90:106
97,广东,2021-10-30 19:35,浙江,124,广东,101,124:101
98,广东,2021-11-01 19:35,广东,98,福建,91,98:91
99,广东,2021-11-04 11:00,江苏,84,广东,97,84:97
100,广东,2021-11-06 19:35,广东,67,北京,91,67:91
101,广东,2021-11-09 20:00,天津,98,广东,110,98:110
102,广东,2021-11-12 15:00,广东,108,江苏,73,108:73
103,广东,2021-11-14 11:00,北京,80,广东,92,80:92
104,新疆,2021-10-17 20:00,新疆,69,广厦,108,69:108
105,新疆,2021-10-19 11:00,新疆,109,宁波,79,109:79
106,新疆,2021-10-21 15:30,新疆,97,山西,112,97:112
107,新疆,2021-10-23 19:35,北控,116,新疆,105,116:105
108,新疆,2021-10-25 15:00,新疆,99,辽宁,109,99:109
109,新疆,2021-10-28 15:30,山西,93,新疆,101,93:101
110,新疆,2021-10-30 15:00,新疆,96,山东,106,96:106
111,新疆,2021-11-02 20:00,广州,123,新疆,105,123:105
112,新疆,2021-11-05 15:30,新疆,92,同曦,86,92:86
113,新疆,2021-11-07 20:00,新疆,84,北控,91,84:91
114,新疆,2021-11-10 19:35,新疆,102,广州,117,102:117
115,新疆,2021-11-12 19:35,广厦,109,新疆,100,109:100
116,新疆,2021-11-14 20:00,吉林,88,新疆,86,88:86
117,上海,2021-10-17 15:30,上海,120,天津,94,120:94
118,上海,2021-10-20 19:35,四川,84,上海,118,84:118
119,上海,2021-10-22 19:35,北京,109,上海,103,109:103
120,上海,2021-10-24 19:35,上海,97,广东,112,97:112
121,上海,2021-10-26 11:00,上海,117,福建,93,117:93
122,上海,2021-10-29 15:00,江苏,94,上海,109,94:109
123,上海,2021-10-31 11:00,上海,105,北京,86,105:86
124,上海,2021-11-03 19:35,上海,121,青岛,88,121:88
125,上海,2021-11-05 19:35,天津,75,上海,110,75:110
126,上海,2021-11-07 19:35,福建,76,上海,126,76:126
127,上海,2021-11-09 11:00,上海,115,四川,97,115:97
128,上海,2021-11-11 11:00,上海,112,浙江,103,112:103
129,上海,2021-11-13 19:35,上海,108,深圳,118,108:118
130,广州,2021-10-17 15:30,广州,89,辽宁,107,89:107
131,广州,2021-10-19 15:30,山西,97,广州,99,97:99
132,广州,2021-10-21 11:00,广州,102,北控,98,102:98
133,广州,2021-10-24 20:00,广厦,93,广州,67,93:67
134,广州,2021-10-26 15:00,广州,100,同曦,88,100:88
135,广州,2021-10-29 19:35,广州,93,宁波,70,93:70
136,广州,2021-10-31 11:00,吉林,94,广州,95,94:95
137,广州,2021-11-02 20:00,广州,123,新疆,105,123:105
138,广州,2021-11-05 20:00,广州,103,广厦,108,103:108
139,广州,2021-11-07 11:00,同曦,101,广州,115,101:115
140,广州,2021-11-10 19:35,新疆,102,广州,117,102:117
141,广州,2021-11-12 15:00,广州,107,吉林,104,107:104
142,广州,2021-11-14 11:00,山东,89,广州,107,89:107
143,辽宁,2021-10-17 15:30,广州,89,辽宁,107,89:107
144,辽宁,2021-10-19 20:00,山东,87,辽宁,98,87:98
145,辽宁,2021-10-21 20:00,辽宁,103,吉林,88,103:88
146,辽宁,2021-10-23 19:35,山西,107,辽宁,99,107:99
147,辽宁,2021-10-25 15:00,新疆,99,辽宁,109,99:109
148,辽宁,2021-10-28 11:00,辽宁,114,同曦,103,114:103
149,辽宁,2021-10-31 19:35,广厦,100,辽宁,112,100:112
150,辽宁,2021-11-02 15:30,宁波,70,辽宁,99,70:99
151,辽宁,2021-11-04 19:35,辽宁,129,山西,97,129:97
152,辽宁,2021-11-06 19:35,吉林,89,辽宁,117,89:117
153,辽宁,2021-11-08 19:35,辽宁,114,山东,97,114:97
154,辽宁,2021-11-11 11:00,辽宁,97,北控,86,97:86
155,辽宁,2021-11-14 15:30,辽宁,102,广厦,94,102:94
156,北京,2021-10-17 11:00,江苏,71,北京,87,71:87
157,北京,2021-10-19 19:35,浙江,96,北京,73,96:73
158,北京,2021-10-22 19:35,北京,109,上海,103,109:103
159,北京,2021-10-24 15:00,四川,66,北京,101,66:101
160,北京,2021-10-27 19:35,北京,86,江苏,69,86:69
161,北京,2021-10-29 19:35,北京,89,青岛,78,89:78
162,北京,2021-10-31 11:00,上海,105,北京,86,105:86
163,北京,2021-11-02 15:30,北京,91,深圳,99,91:99
164,北京,2021-11-04 15:30,福建,113,北京,111,113:111
165,北京,2021-11-06 19:35,广东,67,北京,91,67:91
166,北京,2021-11-08 19:35,北京,89,浙江,81,89:81
167,北京,2021-11-12 19:35,青岛,73,北京,78,73:78
168,北京,2021-11-14 11:00,北京,80,广东,92,80:92
169,福建,2021-10-17 20:00,浙江,108,福建,85,108:85
170,福建,2021-10-19 15:00,福建,97,江苏,88,97:88
171,福建,2021-10-22 15:00,福建,80,四川,101,80:101
172,福建,2021-10-24 11:00,深圳,100,福建,93,100:93
173,福建,2021-10-26 11:00,上海,117,福建,93,117:93
174,福建,2021-10-28 15:00,福建,90,浙江,100,90:100
175,福建,2021-10-30 19:35,天津,106,福建,87,106:87
176,福建,2021-11-01 19:35,广东,98,福建,91,98:91
177,福建,2021-11-04 15:30,福建,113,北京,111,113:111
178,福建,2021-11-07 19:35,福建,76,上海,126,76:126
179,福建,2021-11-09 15:00,福建,78,深圳,103,78:103
180,福建,2021-11-11 20:00,四川,100,福建,90,100:90
181,福建,2021-11-14 20:00,青岛,99,福建,91,99:91
182,深圳,2021-10-16 19:35,广东,106,深圳,83,106:83
183,深圳,2021-10-19 11:00,天津,94,深圳,122,94:122
184,深圳,2021-10-21 20:00,深圳,107,江苏,85,107:85
185,深圳,2021-10-24 11:00,深圳,100,福建,93,100:93
186,深圳,2021-10-26 20:00,青岛,92,深圳,102,92:102
187,深圳,2021-10-28 19:35,深圳,90,广东,106,90:106
188,深圳,2021-10-31 20:00,深圳,126,四川,107,126:107
189,深圳,2021-11-02 15:30,北京,91,深圳,99,91:99
190,深圳,2021-11-05 15:00,深圳,98,青岛,97,98:97
191,深圳,2021-11-07 11:00,四川,96,深圳,125,96:125
192,深圳,2021-11-09 15:00,福建,78,深圳,103,78:103
193,深圳,2021-11-11 15:30,深圳,131,天津,104,131:104
194,深圳,2021-11-13 19:35,上海,108,深圳,118,108:118
195,山西,2021-10-17 11:00,山西,105,宁波,92,105:92
196,山西,2021-10-19 15:30,山西,97,广州,99,97:99
197,山西,2021-10-21 15:30,新疆,97,山西,112,97:112
198,山西,2021-10-23 19:35,山西,107,辽宁,99,107:99
199,山西,2021-10-25 19:35,北控,97,山西,102,97:102
200,山西,2021-10-28 15:30,山西,93,新疆,101,93:101
201,山西,2021-10-31 15:00,宁波,85,山西,110,85:110
202,山西,2021-11-02 11:00,山西,119,吉林,91,119:91
203,山西,2021-11-04 19:35,辽宁,129,山西,97,129:97
204,山西,2021-11-06 15:00,山东,107,山西,114,107:114
205,山西,2021-11-09 11:00,山西,103,广厦,113,103:113
206,山西,2021-11-11 20:00,同曦,90,山西,122,90:122
207,山西,2021-11-13 15:00,山西,105,北控,94,105:94
208,广厦,2021-10-17 20:00,新疆,69,广厦,108,69:108
209,广厦,2021-10-20 19:35,同曦,90,广厦,108,90:108
210,广厦,2021-10-22 15:00,广厦,112,山东,92,112:92
211,广厦,2021-10-24 20:00,广厦,93,广州,67,93:67
212,广厦,2021-10-27 19:35,宁波,75,广厦,121,75:121
213,广厦,2021-10-29 15:00,广厦,102,吉林,92,102:92
214,广厦,2021-10-31 19:35,广厦,100,辽宁,112,100:112
215,广厦,2021-11-03 19:35,北控,74,广厦,101,74:101
216,广厦,2021-11-05 20:00,广州,103,广厦,108,103:108
217,广厦,2021-11-07 15:30,广厦,99,宁波,92,99:92
218,广厦,2021-11-09 11:00,山西,103,广厦,113,103:113
219,广厦,2021-11-12 19:35,广厦,109,新疆,100,109:100
220,广厦,2021-11-14 15:30,辽宁,102,广厦,94,102:94
221,天津,2021-10-17 15:30,上海,120,天津,94,120:94
222,天津,2021-10-19 11:00,天津,94,深圳,122,94:122
223,天津,2021-10-21 11:00,天津,91,青岛,79,91:79
224,天津,2021-10-23 15:00,江苏,96,天津,90,96:90
225,天津,2021-10-25 19:35,天津,89,浙江,128,89:128
226,天津,2021-10-28 11:00,四川,96,天津,94,96:94
227,天津,2021-10-30 19:35,天津,106,福建,87,106:87
228,天津,2021-11-02 11:00,浙江,104,天津,81,104:81
229,天津,2021-11-05 19:35,天津,75,上海,110,75:110
230,天津,2021-11-07 15:00,青岛,106,天津,101,106:101
231,天津,2021-11-09 20:00,天津,98,广东,110,98:110
232,天津,2021-11-11 15:30,深圳,131,天津,104,131:104
233,天津,2021-11-14 15:30,天津,97,江苏,77,97:77
234,青岛,2021-10-16 15:00,青岛,100,四川,93,100:93
235,青岛,2021-10-18 19:35,青岛,90,广东,103,90:103
236,青岛,2021-10-21 11:00,天津,91,青岛,79,91:79
237,青岛,2021-10-23 15:00,浙江,105,青岛,98,105:98
238,青岛,2021-10-26 20:00,青岛,92,深圳,102,92:102
239,青岛,2021-10-29 19:35,北京,89,青岛,78,89:78
240,青岛,2021-10-31 15:30,青岛,91,江苏,86,91:86
241,青岛,2021-11-03 19:35,上海,121,青岛,88,121:88
242,青岛,2021-11-05 15:00,深圳,98,青岛,97,98:97
243,青岛,2021-11-07 15:00,青岛,106,天津,101,106:101
244,青岛,2021-11-10 19:35,江苏,82,青岛,79,82:79
245,青岛,2021-11-12 19:35,青岛,73,北京,78,73:78
246,青岛,2021-11-14 20:00,青岛,99,福建,91,99:91
247,宁波,2021-10-17 11:00,山西,105,宁波,92,105:92
248,宁波,2021-10-19 11:00,新疆,109,宁波,79,109:79
249,宁波,2021-10-22 19:35,宁波,73,同曦,97,73:97
250,宁波,2021-10-24 15:30,吉林,111,宁波,86,111:86
251,宁波,2021-10-27 19:35,宁波,75,广厦,121,75:121
252,宁波,2021-10-29 19:35,广州,93,宁波,70,93:70
253,宁波,2021-10-31 15:00,宁波,85,山西,110,85:110
254,宁波,2021-11-02 15:30,宁波,70,辽宁,99,70:99
255,宁波,2021-11-05 11:00,北控,95,宁波,79,95:79
256,宁波,2021-11-07 15:30,广厦,99,宁波,92,99:92
257,宁波,2021-11-09 19:35,宁波,95,吉林,107,95:107
258,宁波,2021-11-11 15:30,宁波,75,山东,111,75:111
259,宁波,2021-11-13 15:00,同曦,92,宁波,108,92:108
