,confirm,continent,contray,contrayNAME,dead,heal,nowConfirm,sumd,recovery rate
0,127336,亚洲,中国,China,5697,118319,3247,127336,0.929187347
1,39668541,北美洲,美国,United States,654696,30826478,8187367,39668541,0.777101381
2,4831809,欧洲,西班牙,Spain,84000,4258193,489616,5061045,0.841366358
3,3635835,南美洲,哥伦比亚,Colombia,127963,3365050,177312,5036287,0.668160889
4,2405255,欧洲,法国,France,118373,7034867,2166003,7310664,0.962274699
5,2149591,南美洲,秘鲁,Peru,200741,1720665,230663,2216832,0.776181957
6,104145,欧洲,英国,United Kingdom,143801,24692,90011,9686363,0.002549151
7,97689,欧洲,意大利,Italy,133034,13030,73880,4873075,0.002673876
8,63929,欧洲,德国,Germany,99169,4564200,54158,5108904,0.893381438
9,44606,亚洲,伊朗,Iran,128634,5746487,27052,6051642,0.949574843
10,44526,北美洲,加拿大,Canada,2386,15479,26661,1754375,0.008823085
11,15526,欧洲,瑞士,Switzerland,312,1823,13391,923037,0.001975002
12,14476,欧洲,奥地利,Austria,410,8986,5080,981904,0.009151607
13,11899,欧洲,比利时,Belgium,513,1527,9859,1524862,0.001001402
14,11814,欧洲,荷兰,Netherlands,864,253,10697,2375012,0.000106526
15,9976,亚洲,韩国,Korea,169,5828,3979,402775,0.014469617
16,9217,亚洲,土耳其,Turkey,74428,7999745,8981,8457119,0.945918462
17,8724,欧洲,塞尔维亚,Serbia,173,1292,7259,1218423,0.001060387
18,6408,欧洲,葡萄牙,Portugal,140,43,6225,1110155,3.87E-05
19,4347,亚洲,以色列,Israel,15,139,4193,1338527,0.000103845
20,4284,欧洲,挪威,Norway,26,7,4251,232839,3.01E-05
21,4256,南美洲,巴西,Brazil,612144,21206994,4114,21965684,0.965460215
22,4245,大洋洲,澳大利亚,Australia,18,244,3983,192845,0.001265265
23,3700,欧洲,瑞典,Sweden,110,16,3574,1185093,1.35E-05
24,2817,欧洲,捷克,Czech Republic,16,11,2790,1930214,5.70E-06
25,2724,欧洲,丹麦,Denmark,72,73,2579,430891,0.000169416
26,2626,亚洲,马来西亚,Malaysia,37,479,2110,2556865,0.000187339
27,2615,欧洲,爱尔兰,Ireland,46,5,2564,507413,9.85E-06
28,2449,南美洲,智利,Chile,8,156,2285,1730456,9.01E-05
29,1988,欧洲,卢森堡,Luxembourg,22,40,1926,84866,0.000471331
30,1952,欧洲,罗马尼亚,Romanian,46,206,1700,1748568,0.000117811
31,1924,南美洲,厄瓜多尔,Ecuador,58,3,1863,521792,5.75E-06
32,1905,欧洲,波兰,Poland,26,7,1872,3230634,2.17E-06
33,1836,欧洲,俄罗斯,Russia,260335,7919250,1761,9145912,0.865878657
34,1724,亚洲,日本本土,Japan,52,372,1300,1725696,0.000215565
35,1625,亚洲,巴基斯坦,Pakistan,20,29,1576,1280362,2.26E-05
36,1546,亚洲,菲律宾,Philippines,78,42,1426,2820494,1.49E-05
37,1524,亚洲,泰国,Thailand,9,127,1388,2037224,6.23E-05
38,1453,亚洲,沙特阿拉伯,Saudi Arabia,8,115,1330,549297,0.000209359
39,1414,亚洲,印度尼西亚,Indonesia,143709,75,1217,4251423,1.76E-05
40,1280,非洲,南非,South Africa,2,31,1247,2926348,1.06E-05
41,1240,欧洲,芬兰,Finland,11,10,1219,171222,5.84E-05
42,1156,欧洲,希腊,Greece,38,52,1066,847188,6.14E-05
43,1071,亚洲,印度,India,464696,33885132,943,34466598,0.98312958
44,1020,欧洲,冰岛,Greenland,2,135,883,15968,0.008454409
45,993,北美洲,墨西哥,Mexico,291573,4,969,3847243,1.04E-06
46,989,北美洲,巴拿马,Panama,24,4,961,474928,8.42E-06
47,901,北美洲,多米尼加,dominica,42,4,855,398018,1.00E-05
48,879,亚洲,新加坡,Singapore,3,228,648,241341,0.000944721
49,820,南美洲,阿根廷,Argentina,116341,5177202,668,5308781,0.975214837
50,713,欧洲,克罗地亚,Croatia,6,55,652,544330,0.000101042
51,712,其他,钻石号邮轮,Diamond Cruise,11,603,98,620,0.972580645
52,684,欧洲,斯洛文尼亚,Slovenia,9,10,665,383734,2.61E-05
53,645,欧洲,爱沙尼亚,Estonia,1,20,624,213474,9.37E-05
54,634,亚洲,卡塔尔,Qatar,1,48,585,241378,0.000198858
55,611,亚洲,阿联酋,U.A.E,5,61,545,741074,8.23E-05
56,609,非洲,埃及,Egypt,40,132,437,345848,0.000381671
57,589,大洋洲,新西兰,New Zealand,1,56,532,9285,0.006031233
58,584,亚洲,阿塞拜疆,Azerbaijan,5,32,547,563940,5.67E-05
59,547,亚洲,伊拉克,Iraq,42,143,362,2070883,6.91E-05
60,516,非洲,摩洛哥,Morocco,27,13,476,948391,1.37E-05
61,515,亚洲,巴林,Bahrain,4,279,232,277262,0.001006268
62,511,非洲,阿尔及利亚,Algeria,31,32,448,208245,0.000153665
63,481,亚洲,亚美尼亚,Armenia,3,30,448,330895,9.07E-05
64,480,欧洲,乌克兰,Ukraine,11,6,463,3263417,1.84E-06
65,460,欧洲,立陶宛,Lithuania,7,1,452,448304,2.23E-06
66,447,欧洲,匈牙利,Hungary,15,34,398,976432,3.48E-05
67,446,亚洲,黎巴嫩,Lebanon,11,32,403,654068,4.89E-05
68,347,欧洲,拉脱维亚,Latvia,0,1,346,241839,4.13E-06
69,336,欧洲,斯洛伐克,Slovakia,0,2,334,569866,3.51E-06
70,334,欧洲,安道尔,Andorra,6,6,322,15929,0.000376671
71,324,欧洲,波黑,Bosnia,6,8,310,265942,3.01E-05
72,313,欧洲,保加利亚,Bulgaria,3,4,306,662739,6.04E-06
73,312,非洲,突尼斯,Tunisia,8,2,302,715818,2.79E-06
74,309,南美洲,乌拉圭,Uruguay,1,6,302,396888,1.51E-05
75,302,亚洲,哈萨克斯坦,Kazakhstan,1,21,280,1040924,2.02E-05
76,295,北美洲,哥斯达黎加,Costa Rica,2,3,290,564901,5.31E-06
77,266,亚洲,科威特,Kuwait,0,72,194,413050,0.000174313
78,259,欧洲,北马其顿,Northern Macedonia,6,3,250,209971,1.43E-05
79,259,亚洲,约旦,Jordan,3,18,238,898682,2.00E-05
80,231,欧洲,摩尔多瓦,Moldova,2,2,227,354755,5.64E-06
81,224,欧洲,圣马力诺,San Marino,22,6,196,5654,0.001061196
82,222,非洲,布基纳法索,Burkina Faso,12,23,187,15514,0.001482532
83,214,亚洲,塞浦路斯,Cyprus,6,15,193,124225,0.000120749
84,212,欧洲,阿尔巴尼亚,Albania,10,33,169,193856,0.000170229
85,194,亚洲,越南,Vietnam,0,52,142,1045397,4.97E-05
86,179,亚洲,阿曼,Oman,0,29,150,304441,9.53E-05
87,165,非洲,科特迪瓦,Côte d’Ivoire,1,4,160,61523,6.50E-05
88,162,非洲,塞内加尔,Senegal,0,28,134,73959,0.000378588
89,152,非洲,加纳,Ghana,5,2,145,130727,1.53E-05
90,149,亚洲,乌兹别克斯坦,Uzbekistan,2,7,140,190332,3.68E-05
91,149,欧洲,马耳他,Malta,0,2,147,38319,5.22E-05
92,145,亚洲,阿富汗,Afghanistan,4,2,139,156649,1.28E-05
93,142,非洲,喀麦隆,Cameroon,6,5,131,106190,4.71E-05
94,139,北美洲,洪都拉斯,Honduras,1,3,135,377241,7.95E-06
95,127,亚洲,文莱,Brunei,1,38,88,14291,0.002659016
96,122,亚洲,斯里兰卡,Sri Lanka,1,11,110,552994,1.99E-05
97,119,南美洲,委内瑞拉,Venezuela,2,39,78,421311,9.26E-05
98,119,北美洲,古巴,Cuba,3,4,112,959307,4.17E-06
99,111,非洲,尼日利亚,Nigeria,1,3,107,213177,1.41E-05
100,107,非洲,毛里求斯,Mauritius,2,0,105,18979,0
101,106,亚洲,巴勒斯坦,Palestine,1,18,87,427121,4.21E-05
102,103,亚洲,柬埔寨,Cambodia,0,21,82,119687,0.000175458
103,98,亚洲,格鲁吉亚,Georgia,0,18,80,795847,2.26E-05
104,94,欧洲,白俄罗斯,Belarus,0,32,62,631025,5.07E-05
105,85,欧洲,黑山,Montenegro,1,0,84,"152931	",#VALUE!
106,84,亚洲,吉尔吉斯斯坦,Kyrgyzstan,0,0,84,182605,0
107,81,非洲,刚果（金）,Congo (DRC),8,3,70,57803,5.19E-05
108,81,南美洲,玻利维亚,Bolivia,0,0,81,525187,0
109,70,非洲,卢旺达,Rwanda,0,0,70,100164,0
110,64,南美洲,巴拉圭,Paraguay,3,1,60,462059,2.16E-06
111,56,欧洲,列支敦士登公国,Liechtenstein,0,0,56,3026,0
112,50,非洲,肯尼亚,Kenya,1,1,48,254384,3.93E-06
113,49,亚洲,孟加拉,bengali,5,19,25,1572948,1.21E-05
114,43,非洲,马达加斯加,Madagascar,0,0,43,43672,0
115,43,欧洲,摩纳哥,Monaco,0,1,42,3498,0.000285878
116,35,非洲,赞比亚,Zambia,0,0,35,210008,0
117,34,北美洲,危地马拉,Guatemala,1,10,23,610591,1.64E-05
118,33,非洲,乌干达,Uganda,0,0,33,127002,0
119,30,非洲,多哥,Togo,1,7,22,26167,0.000267513
120,28,南美洲,圭亚那,Guyana,1,6,21,45502,0.000131862
121,25,非洲,马里,Mali,2,0,23,16716,0
122,25,非洲,吉布提,Djibouti,0,0,25,13497,0
123,23,非洲,埃塞俄比亚,Ethiopia,0,2,21,369244,5.42E-06
124,20,亚洲,缅甸,Myanmar,1,0,19,514716,0
125,19,非洲,刚果（布）,Congo (Bu),0,0,19,18539,0
126,19,非洲,坦桑尼亚,Tanzania,0,1,18,26208,3.82E-05
127,18,非洲,尼日尔,Niger,1,0,17,6726,0
128,17,亚洲,马尔代夫,Maldives,0,11,6,90117,0.000122064
129,16,非洲,几内亚,Guinea,0,1,15,30715,3.26E-05
130,14,非洲,赤道几内亚,Equatorial Guinea,0,0,14,5646,0
131,12,非洲,厄立特里亚,Eritrea,0,0,12,7076,0
132,12,亚洲,蒙古,Mongolia,0,0,12,374970,0
133,11,非洲,纳米比亚,Namibia,0,0,11,129067,0
134,10,亚洲,叙利亚,Syria,1,0,9,46564,0
135,9,非洲,斯威士兰,Eswatini,0,0,9,46481,0
136,8,北美洲,海地,Haiti,0,0,8,"24710	",#VALUE!
137,8,非洲,莫桑比克,Mozambique,0,0,8,151457,0
138,8,南美洲,苏里南,Suriname,0,0,8,50170,0
139,8,亚洲,老挝,Lao PDR,0,0,8,56324,0
140,8,非洲,塞舌尔,Seychelles,0,0,8,22722,0
141,7,非洲,津巴布韦,Zimbabwe,1,0,6,133505,0
142,7,非洲,安哥拉,Angola,2,0,5,"64940	",#VALUE!
143,7,北美洲,安提瓜和巴布达,Antigua and Barbuda,0,0,7,4129,0
144,7,非洲,加蓬,Gabon,1,0,6,36787,0
145,6,非洲,苏丹,Sudan,1,0,5,40238,0
146,6,非洲,中非共和国,Central African Republic,0,0,6,11666,0
147,6,欧洲,梵蒂冈,Vatican City,0,0,6,27,0
148,6,非洲,贝宁,Benin,0,0,6,24833,0
149,6,非洲,佛得角,Cape Verde,1,0,5,38302,0
150,5,亚洲,尼泊尔,Nepal,0,1,4,817672,1.22E-06
151,5,非洲,毛里塔尼亚,Mauritania,0,2,3,38278,5.22E-05
152,5,非洲,乍得,Chad,0,0,5,5105,0
153,4,北美洲,尼加拉瓜,Nicaragua,1,0,3,17023,0
154,4,非洲,冈比亚,Gambia,1,0,3,9986,0
155,4,亚洲,不丹,Bhutan,0,0,4,2625,0
156,3,非洲,利比里亚,Liberia,0,0,3,5818,0
157,3,非洲,索马里,Somalia,0,0,3,22837,0
158,2,非洲,几内亚比绍,Guinea-Bissau,0,0,2,30715,0
159,2,北美洲,伯利兹,Belize,0,0,2,29269,0
160,1,亚洲,东帝汶,Timor-Leste,0,0,1,19812,0
161,1,大洋洲,巴布亚新几内亚,Papua New Guinea,0,0,1,33054,0
