日期,天气状况,气温,风力风向
2011-01-01,多云/多云,13℃/5℃,无持续风向微风/无持续风向微风
2011-01-02,多云/阴,12℃/6℃,无持续风向微风/无持续风向微风
2011-01-03,小雨/多云,10℃/7℃,无持续风向微风/无持续风向微风
2011-01-04,阵雨/小雨,14℃/6℃,无持续风向微风/无持续风向微风
2011-01-05,阴/小雨,13℃/7℃,无持续风向微风/无持续风向微风
2011-01-06,小雨/阴,11℃/5℃,无持续风向微风/无持续风向微风
2011-01-07,阴/多云,9℃/4℃,无持续风向微风/无持续风向微风
2011-01-08,多云/阴,13℃/7℃,无持续风向微风/无持续风向微风
2011-01-09,阴/阴,14℃/6℃,无持续风向微风/无持续风向微风
2011-01-10,阴/小雨,10℃/6℃,无持续风向微风/无持续风向微风
2011-01-11,小雨/小雨,6℃/4℃,无持续风向微风/无持续风向微风
2011-01-12,阴/多云,11℃/3℃,无持续风向微风/无持续风向微风
2011-01-13,多云/阴,13℃/5℃,无持续风向微风/无持续风向微风
2011-01-14,阴/阴,12℃/5℃,无持续风向微风/无持续风向微风
2011-01-15,小雨/多云,10℃/3℃,无持续风向微风/无持续风向微风
2011-01-16,晴/多云,11℃/0℃,无持续风向微风/无持续风向微风
2011-01-17,多云/阴,11℃/3℃,无持续风向微风/无持续风向微风
2011-01-18,阴/阴,10℃/7℃,无持续风向微风/无持续风向微风
2011-01-19,阵雨/阴,12℃/9℃,无持续风向微风/无持续风向微风
2011-01-20,阵雨/小雨,11℃/8℃,无持续风向微风/无持续风向微风
2011-01-21,小雨/阴,11℃/7℃,无持续风向微风/无持续风向微风
2011-01-22,多云/阴,13℃/6℃,无持续风向微风/无持续风向微风
2011-01-23,阴/阴,13℃/8℃,无持续风向微风/无持续风向微风
2011-01-24,阵雨/阴,12℃/6℃,无持续风向微风/无持续风向微风
2011-01-25,阴/小雨,9℃/6℃,无持续风向微风/无持续风向微风
2011-01-26,小雨/阴,9℃/7℃,无持续风向微风/无持续风向微风
2011-01-27,阴/阵雨,11℃/8℃,无持续风向微风/无持续风向微风
2011-01-28,阵雨/阴,11℃/6℃,无持续风向微风/无持续风向微风
2011-01-29,阴/阴,10℃/6℃,无持续风向微风/无持续风向微风
2011-01-30,阴/阴,9℃/3℃,无持续风向微风/无持续风向微风
2011-01-31,阴/多云,11℃/5℃,无持续风向微风/无持续风向微风
2011-02-01,阴/阵雨,13℃/6℃,无持续风向微风/无持续风向微风
2011-02-02,阴/多云,13℃/7℃,无持续风向微风/无持续风向微风
2011-02-03,多云/多云,16℃/8℃,无持续风向微风/无持续风向微风
2011-02-04,晴/晴,21℃/9℃,无持续风向微风/无持续风向微风
2011-02-05,晴/晴,23℃/8℃,无持续风向微风/无持续风向微风
2011-02-06,晴/晴,23℃/9℃,无持续风向微风/无持续风向微风
2011-02-07,晴/多云,21℃/10℃,无持续风向微风/无持续风向微风
2011-02-08,多云/多云,23℃/12℃,无持续风向微风/无持续风向微风
2011-02-09,多云/多云,20℃/11℃,无持续风向微风/无持续风向微风
2011-02-10,小雨/小雨,17℃/10℃,无持续风向微风/无持续风向微风
2011-02-11,小雨/阴,11℃/6℃,无持续风向微风/无持续风向微风
2011-02-12,阴/阴,11℃/6℃,无持续风向微风/无持续风向微风
2011-02-13,小雨/小雨,10℃/4℃,无持续风向微风/无持续风向微风
2011-02-14,阴/多云,10℃/5℃,无持续风向微风/无持续风向微风
2011-02-15,阴/小雨,10℃/6℃,无持续风向微风/无持续风向微风
2011-02-16,小雨/小雨,12℃/8℃,无持续风向微风/无持续风向微风
2011-02-17,小雨/小雨,15℃/9℃,无持续风向微风/无持续风向微风
2011-02-18,阵雨/小雨,12℃/6℃,无持续风向微风/无持续风向微风
2011-02-19,小雨/小雨,10℃/8℃,无持续风向微风/无持续风向微风
2011-02-20,阴/阴,14℃/8℃,无持续风向微风/无持续风向微风
2011-02-21,多云/多云,17℃/9℃,无持续风向微风/无持续风向微风
2011-02-22,多云/多云,20℃/7℃,无持续风向微风/无持续风向微风
2011-02-23,多云/阴,20℃/11℃,无持续风向微风/无持续风向微风
2011-02-24,阵雨/阵雨,19℃/12℃,无持续风向微风/无持续风向微风
2011-02-25,阴/阴,19℃/13℃,无持续风向微风/无持续风向微风
2011-02-26,阴/多云,21℃/12℃,无持续风向微风/无持续风向微风
2011-02-27,多云/多云,25℃/16℃,无持续风向微风/无持续风向微风
2011-02-28,多云/阵雨,28℃/9℃,无持续风向微风/无持续风向微风
2011-03-01,小雨/阴,13℃/10℃,无持续风向微风/无持续风向微风
2011-03-02,阴/阴,13℃/7℃,无持续风向微风/无持续风向微风
2011-03-03,阵雨/多云,10℃/7℃,无持续风向微风/无持续风向微风
2011-03-04,阴/多云,15℃/7℃,无持续风向微风/无持续风向微风
2011-03-05,阴/阴,18℃/10℃,无持续风向微风/无持续风向微风
2011-03-06,阵雨/中雨,18℃/12℃,无持续风向微风/无持续风向微风
2011-03-07,阴/多云,13℃/7℃,无持续风向微风/无持续风向微风
2011-03-08,多云/多云,16℃/8℃,无持续风向微风/无持续风向微风
2011-03-09,多云/阴,20℃/11℃,无持续风向微风/无持续风向微风
2011-03-10,阵雨/阵雨,16℃/11℃,无持续风向微风/无持续风向微风
2011-03-11,阴/阵雨,15℃/10℃,无持续风向微风/无持续风向微风
2011-03-12,阴/多云,20℃/13℃,无持续风向微风/无持续风向微风
2011-03-13,阴/阴,24℃/13℃,无持续风向微风/无持续风向微风
2011-03-14,阵雨/阵雨,22℃/11℃,无持续风向微风/无持续风向微风
2011-03-15,小雨/小雨,14℃/7℃,无持续风向微风/无持续风向微风
2011-03-16,阴/多云,13℃/8℃,无持续风向微风/无持续风向微风
2011-03-17,阴/多云,17℃/9℃,无持续风向微风/无持续风向微风
2011-03-18,阵雨/中雨,15℃/10℃,无持续风向微风/无持续风向微风
2011-03-19,小雨/中雨,16℃/13℃,无持续风向微风/无持续风向微风
2011-03-20,阵雨/多云,21℃/17℃,无持续风向微风/无持续风向微风
2011-03-21,阵雨/雷阵雨,26℃/10℃,无持续风向微风/无持续风向微风
2011-03-22,阵雨/阴,14℃/8℃,无持续风向微风/无持续风向微风
2011-03-23,阴/阴,14℃/8℃,无持续风向微风/无持续风向微风
2011-03-24,阴/多云,15℃/9℃,无持续风向微风/无持续风向微风
2011-03-25,阴/多云,14℃/8℃,无持续风向微风/无持续风向微风
2011-03-26,阴/阵雨,15℃/9℃,无持续风向微风/无持续风向微风
2011-03-27,阴/阴,15℃/7℃,无持续风向微风/无持续风向微风
2011-03-28,多云/晴,18℃/8℃,无持续风向微风/无持续风向微风
2011-03-29,晴/多云,22℃/9℃,无持续风向微风/无持续风向微风
2011-03-30,多云/多云,20℃/10℃,无持续风向微风/无持续风向微风
2011-03-31,多云/多云,20℃/11℃,无持续风向微风/无持续风向微风
2011-04-01,多云/多云,23℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-04-02,多云/阴,26℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-04-03,阵雨/阵雨,18℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-04-04,阵雨/阴,16℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-04-05,多云/阴,18℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-04-06,多云/多云,23℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-04-07,多云/阴,28℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-04-08,阵雨/阴,24℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-04-09,阴/阴,24℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-04-10,多云/多云,26℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-04-11,阵雨/阴,20℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-04-12,阴/阴,21℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-04-13,多云/多云,26℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-04-14,多云/多云,26℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-04-15,多云/多云,30℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-04-16,雷阵雨/中雨,28℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-04-17,阵雨/阵雨,20℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-04-18,多云/晴,26℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-04-19,晴/晴,26℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-04-20,晴/晴,25℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-04-21,多云/多云,28℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-04-22,小雨/阴,26℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-04-23,多云/多云,25℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-04-24,晴/多云,29℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-04-25,多云/多云,31℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-04-26,多云/多云,32℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-04-27,多云/多云,33℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-04-28,多云/多云,27℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-04-29,阴/阴,30℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-04-30,阵雨/阵雨,25℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-05-01,中到大雨/雷阵雨,27℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-05-02,中雨/中到大雨,24℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-05-03,中雨/小到中雨,20℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-05-04,小到中雨/小到中雨,18℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-05-05,阵雨/阵雨,22℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-05-06,阵雨/阵雨,25℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-05-07,阵雨/阵雨,29℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-05-08,雷阵雨/阴,29℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-05-09,阴/多云,31℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-05-10,多云/多云,34℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-05-11,多云/雷阵雨,33℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-05-12,中雨/中雨,28℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-05-13,大雨/小到中雨,22℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-05-14,阵雨/阵雨,22℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-05-15,阵雨/中雨,20℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-05-16,中雨/小到中雨,19℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-05-17,阴/多云,27℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-05-18,多云/多云,30℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-05-19,多云/多云,30℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-05-20,多云/多云,32℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-05-21,多云/阴,31℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-05-22,阵雨/小到中雨,27℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-05-23,中雨/阵雨,24℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-05-24,阵雨/阵雨,23℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-05-25,阴/阴,23℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-05-26,多云/阴,27℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-05-27,阴/阴,28℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-05-28,多云/晴,29℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-05-29,晴/多云,31℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-05-30,多云/多云,30℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-05-31,多云/多云,32℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-06-01,雷阵雨/阵雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-06-02,阵雨/阵雨,25℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-06-03,阵雨/阴,29℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-06-04,阴/阴,30℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-06-05,阴/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-06,阴/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-06-07,雷阵雨/阵雨,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-06-08,阵雨/阴,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-06-09,多云/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-10,多云/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-11,雷阵雨/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-12,阵雨/阵雨,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-06-13,雷阵雨/雷阵雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-06-14,阵雨/阴,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-15,雷阵雨/阴,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-16,多云/多云,35℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-06-17,多云/多云,36℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-06-18,多云/多云,35℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-06-19,多云/多云,36℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-06-20,阵雨/多云,34℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-06-21,阵雨/阵雨,34℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-06-22,阵雨/多云,34℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-06-23,多云/多云,36℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-06-24,多云/阵雨,36℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-06-25,小到中雨/阵雨,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-26,雷阵雨/多云,34℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-06-27,阵雨/阵雨,36℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-06-28,阵雨/雷阵雨,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-06-29,阵雨/阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-06-30,阴/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-01,多云/多云,36℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-02,晴/晴,37℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-03,晴/晴,37℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-04,晴/晴,37℃/27℃,无持续风向≤3级/无持续风向≤3级
