日期,天气状况,气温,风力风向
2011-07-05,晴/晴,37℃/28℃,无持续风向≤3级/无持续风向≤3级
2011-07-06,晴/多云,37℃/28℃,无持续风向≤3级/无持续风向≤3级
2011-07-07,晴/多云,37℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-08,多云/多云,36℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-09,阵雨/阵雨,34℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-10,阵雨/阵雨,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-11,阵雨/阵雨,31℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-12,阵雨/阵雨,32℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-13,雷阵雨/阴,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-14,阵雨/阵雨,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-15,阵雨/阵雨,32℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-16,阵雨/阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-07-17,阵雨/中雨,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-07-18,阵雨/阵雨,31℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-19,阵雨/阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-07-20,阵雨/阵雨,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-07-21,阵雨/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-22,多云/多云,35℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-23,晴/晴,36℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-24,晴/多云,38℃/28℃,无持续风向≤3级/无持续风向≤3级
2011-07-25,阵雨/多云,37℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-26,阵雨/多云,36℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-27,多云/多云,35℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-28,多云/多云,35℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-07-29,多云/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-30,多云/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-31,多云/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-01,多云/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-02,多云/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-03,多云/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-04,多云/多云,34℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-08-05,雷阵雨/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-06,多云/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-07,阵雨/阵雨,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-08,阵雨/雷阵雨,35℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-08-09,雷阵雨/多云,35℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-08-10,雷阵雨/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-11,多云/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-12,多云/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-13,阵雨/雷阵雨,35℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-08-14,多云/多云,36℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-08-15,多云/晴,36℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-08-16,晴/晴,37℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-08-17,晴/晴,38℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-08-18,多云/多云,37℃/27℃,无持续风向≤3级/无持续风向≤3级
2011-08-19,多云/多云,37℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-20,晴/晴,37℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-21,晴/多云,36℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-22,多云/雷阵雨,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-23,阵雨/阵雨,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-08-24,阵雨/雷阵雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-08-25,阵雨/阵雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-08-26,阵雨/阵雨,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-08-27,阵雨/阵雨,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-08-28,阵雨/小到中雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-08-29,中雨/中到大雨,30℃/24℃,东北风5-6级/东北风3-4级
2011-08-30,中到大雨/大到暴雨,29℃/25℃,东北风3-4级/东南风3-4级
2011-08-31,中到大雨/中雨,29℃/24℃,东北风4-5级/无持续风向≤3级
2011-09-01,中雨/中雨,29℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-09-02,阵雨/多云,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-03,多云/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-04,晴/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-05,多云/阴,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-06,阵雨/多云,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-07,多云/多云,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-08,多云/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-09,多云/阴,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-09-10,阴/阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-11,阵雨/阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-12,阴/阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-13,阵雨/多云,32℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-09-14,多云/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-09-15,多云/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-09-16,多云/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-17,多云/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-18,多云/阵雨,33℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-09-19,阵雨/多云,28℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-09-20,多云/多云,27℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-09-21,多云/阴,26℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-09-22,阵雨/阴,25℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-09-23,阴/阵雨,25℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-09-24,阴/阴,25℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-09-25,阴/阴,27℃/23℃,无持续风向≤3级/东北风3-4级
2011-09-26,阴/阴,27℃/23℃,东北风3-4级/东北风3-4级
2011-09-27,多云/阵雨,29℃/24℃,东北风3-4级/东北风3-4级
2011-09-28,阵雨/小到中雨,29℃/24℃,东北风3-4级/东北风3-4级
2011-09-29,阵雨/阵雨,29℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-09-30,阵雨/阵雨,30℃/22℃,无持续风向≤3级/东北风3-4级
2011-10-01,阵雨/阵雨,23℃/20℃,东北风3-4级/东北风3-4级
2011-10-02,阵雨/阵雨,24℃/20℃,东北风3-4级/东北风3-4级
2011-10-03,小雨/阵雨,19℃/17℃,无持续风向微风/东北风3-4级
2011-10-04,阵雨/阵雨,23℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-10-05,阴/多云,26℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-10-06,阴/阴,26℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-10-07,阴/阵雨,24℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-10-08,多云/阴,26℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-10-09,阴/阴,27℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-10-10,阴/阴,27℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-10-11,阴/阵雨,29℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-10-12,阴/阵雨,27℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-10-13,阵雨/小到中雨,27℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-10-14,小到中雨/阵雨,24℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-10-15,多云/多云,25℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-10-16,晴/晴,27℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-10-17,晴/多云,26℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-10-18,多云/多云,25℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-10-19,多云/多云,25℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-10-20,阴/阴,25℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-10-21,多云/多云,27℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-10-22,多云/多云,28℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-10-23,多云/多云,28℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-10-24,多云/阵雨,29℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-10-25,阵雨/阵雨,23℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-10-26,阴/阴,23℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-10-27,多云/阴,24℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-10-28,多云/多云,25℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-10-29,多云/多云,26℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-10-30,阴/阴,25℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-10-31,多云/多云,26℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-11-01,多云/阴,27℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-11-02,阴/阵雨,27℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-11-03,阵雨/阵雨,26℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-11-04,阵雨/阵雨,26℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-11-05,阴/阴,27℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-11-06,多云/多云,27℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-11-07,多云/阴,24℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-11-08,阵雨/中雨,21℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-11-09,中雨/中到大雨,19℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-11-10,小到中雨/阴,18℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-11-11,阴/阴,22℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-11-12,阵雨/阵雨,23℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-11-13,阵雨/阴,21℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-11-14,阴/多云,23℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-11-15,多云/多云,24℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-11-16,多云/阴,23℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-11-17,阴/阵雨,24℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-11-18,中雨/中雨,24℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-11-19,中雨/阵雨,23℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-11-20,多云/多云,21℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-11-21,多云/多云,21℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-11-22,多云/多云,22℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-11-23,多云/晴,21℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-11-24,多云/多云,21℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-11-25,多云/多云,21℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-11-26,多云/阴,24℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-11-27,阴/阴,23℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-11-28,阴/阴,25℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-11-29,阴/阴,25℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-11-30,多云/阵雨,26℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-12-01,阵雨/阵雨,16℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-12-02,阴/多云,17℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-12-03,晴/晴,18℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-12-04,多云/多云,18℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-12-05,多云/阵雨,20℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-12-06,阵雨/阵雨,20℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-12-07,阵雨/小雨,22℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-12-08,小雨/小雨,16℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-12-09,小雨/阴,16℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-12-10,阴/多云,13℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-12-11,多云/阴,14℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-12-12,阴/阴,17℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-12-13,阴/阴,19℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-12-14,阴/阵雨,18℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-12-15,阴/阴,14℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-12-16,阴/多云,13℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-12-17,多云/多云,14℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-12-18,多云/多云,15℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-12-19,阴/多云,15℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-12-20,多云/多云,19℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-12-21,多云/多云,19℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-12-22,阴/多云,14℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-12-23,多云/多云,14℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-12-24,晴/晴,14℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-12-25,晴/晴,15℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-12-26,晴/阴,14℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-12-27,阴/多云,15℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-12-28,多云/阴,17℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-12-29,阵雨/阵雨,15℃/11℃,无持续风向微风/无持续风向微风
2011-12-30,阵雨/阴,13℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-12-31,阴/阴,14℃/10℃,无持续风向≤3级/无持续风向≤3级
